PT,n
NEURALGIA,7
TERMINAL STATE,7
ADRENOCORTICAL INSUFFICIENCY ACUTE,7
NEPHRITIS,7
OESOPHAGEAL CANDIDIASIS,7
ACIDOSIS,7
INFECTIOUS PLEURAL EFFUSION,7
MEDIASTINITIS,7
ANASTOMOTIC ULCER,7
ATRIOVENTRICULAR BLOCK,7
FAECES SOFT,7
MYOCARDIAL NECROSIS MARKER INCREASED,7
ELECTROCARDIOGRAM T WAVE INVERSION,7
INCONTINENCE,7
BLOOD THYROID STIMULATING HORMONE DECREASED,7
IMMUNE-MEDIATED MYASTHENIA GRAVIS,7
IMMUNE-MEDIATED DERMATITIS,7
FAILURE TO THRIVE,7
CORTISOL DECREASED,7
KL-6 INCREASED,7
DEVICE LEAKAGE,7
COVID-19 PNEUMONIA,7
LUNG CONSOLIDATION,7
FEBRILE BONE MARROW APLASIA,7
JOINT EFFUSION,7
TENDON RUPTURE,7
RENAL VEIN THROMBOSIS,7
VENA CAVA THROMBOSIS,6
TORSADE DE POINTES,6
TOXIC ENCEPHALOPATHY,6
LOCALISED OEDEMA,6
MONOCYTE COUNT INCREASED,6
NEEDLE ISSUE,6
NORMOCHROMIC NORMOCYTIC ANAEMIA,6
MYOPATHY,6
UNRESPONSIVE TO STIMULI,6
STRIDOR,6
RENAL CYST,6
HAEMOGLOBIN ABNORMAL,6
NODULE,6
BLOOD URINE PRESENT,6
EYE PAIN,6
TENDERNESS,6
DIVERTICULAR PERFORATION,6
PAIN OF SKIN,6
SUTURE RUPTURE,6
SKIN LESION,6
ENTEROCOLITIS HAEMORRHAGIC,6
RECTAL STENOSIS,6
PROTEIN URINE PRESENT,6
MENTAL DISORDER,6
ANAL HAEMORRHAGE,6
PULMONARY CONGESTION,6
INTESTINAL ULCER,6
PHARYNGEAL OEDEMA,6
INTENTIONAL PRODUCT MISUSE,6
SUBCLAVIAN VEIN THROMBOSIS,6
HEPATITIS ACUTE,6
RETINAL DETACHMENT,6
ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,6
CLOSTRIDIUM DIFFICILE INFECTION,6
CENTRAL VENOUS CATHETERISATION,6
AGITATION,6
VAGINAL HAEMORRHAGE,6
ABDOMINAL TENDERNESS,6
LIMB DISCOMFORT,6
LARGE INTESTINAL HAEMORRHAGE,6
ADENOCARCINOMA,6
HYPERCALCAEMIA OF MALIGNANCY,6
MALIGNANT PLEURAL EFFUSION,6
FACIAL PARALYSIS,6
LARGE INTESTINAL STENOSIS,6
PRODUCT STORAGE ERROR,6
HAIR COLOUR CHANGES,6
PELVIC PAIN,6
COMPRESSION FRACTURE,6
VASCULAR PSEUDOANEURYSM,6
CYTOMEGALOVIRUS OESOPHAGITIS,6
PRODUCT QUALITY ISSUE,6
GENERALISED TONIC-CLONIC SEIZURE,6
INTRACRANIAL PRESSURE INCREASED,6
ADMINISTRATION SITE EXTRAVASATION,6
MIGRAINE,6
SENSORY DISTURBANCE,6
OESOPHAGEAL VARICES HAEMORRHAGE,6
CORONARY ARTERY DISEASE,6
LICHEN PLANUS,6
OSTEOPOROSIS,6
RESPIRATORY DEPRESSION,6
COMPLICATION ASSOCIATED WITH DEVICE,6
DERMATITIS PSORIASIFORM,6
MECHANICAL ILEUS,6
NUTRITIONAL CONDITION ABNORMAL,6
APLASIA PURE RED CELL,6
OESOPHAGEAL CARCINOMA,6
LIP SWELLING,6
BRONCHIOLITIS,6
OESOPHAGEAL PAIN,6
FOURNIER'S GANGRENE,6
HAEMORRHAGIC DIATHESIS,6
HAEMORRHAGE SUBCUTANEOUS,6
MONOPLEGIA,6
DRUG-DEVICE INCOMPATIBILITY,6
PRODUCT ADMINISTRATION ERROR,6
IMMUNE-MEDIATED ENCEPHALITIS,6
RALES,6
BODY TEMPERATURE INCREASED,6
INFLAMMATORY BOWEL DISEASE,6
ACUTE HEPATIC FAILURE,6
EFFUSION,6
MUSCULOSKELETAL CHEST PAIN,6
ORAL MUCOSAL BLISTERING,6
KIDNEY INFECTION,6
LYMPHOCYTE STIMULATION TEST POSITIVE,6
SKIN EROSION,6
DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY,6
GASTROINTESTINAL MOTILITY DISORDER,6
DIVERTICULUM INTESTINAL HAEMORRHAGIC,6
HYPOGLYCAEMIC COMA,6
COLITIS ULCERATIVE,6
GASTRIC VARICES,6
IMMUNE-MEDIATED CYSTITIS,6
GLUCOSE TOLERANCE IMPAIRED,6
CUTANEOUS VASCULITIS,6
COLITIS MICROSCOPIC,6
PULSE ABSENT,6
BLOOD CULTURE POSITIVE,6
HERPES SIMPLEX,6
BLOOD ELECTROLYTES ABNORMAL,6
HEPATITIS C,5
EMPHYSEMATOUS CHOLECYSTITIS,5
LONG QT SYNDROME,5
THERMAL BURN,5
LACUNAR INFARCTION,5
VISUAL FIELD DEFECT,5
VIRAL UPPER RESPIRATORY TRACT INFECTION,5
EMBOLISM ARTERIAL,5
EXTRASYSTOLES,5
BRAIN OEDEMA,5
PLEURISY,5
PERIPHERAL ARTERIAL OCCLUSIVE DISEASE,5
WERNICKE'S ENCEPHALOPATHY,5
STRESS,5
THROMBOPHLEBITIS,5
ATRIOVENTRICULAR BLOCK COMPLETE,5
SCIATICA,5
CORONARY ARTERY STENOSIS,5
RASH MACULAR,5
NASAL DRYNESS,5
URETERIC OBSTRUCTION,5
ANEURYSM,5
BODY HEIGHT DECREASED,5
PERIPHERAL EMBOLISM,5
RIB FRACTURE,5
PROSTATE CANCER,5
BRONCHOPULMONARY ASPERGILLOSIS,5
CEREBRAL ARTERY EMBOLISM,5
RENAL SALT-WASTING SYNDROME,5
PULMONARY MASS,5
BONE MARROW DISORDER,5
METASTASES TO BONE MARROW,5
CLOSTRIDIAL INFECTION,5
POSTOPERATIVE WOUND INFECTION,5
MASS,5
MUSCLE ATROPHY,5
DERMATITIS ALLERGIC,5
SINUSITIS,5
MICROANGIOPATHIC HAEMOLYTIC ANAEMIA,5
BLOOD BILIRUBIN ABNORMAL,5
PSORIASIS,5
DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,5
PREMATURE DELIVERY,5
TUMOUR RUPTURE,5
METASTASES TO STOMACH,5
HAEMORRHOIDAL HAEMORRHAGE,5
HEMIPLEGIA,5
INFLUENZA LIKE ILLNESS,5
GASTRIC DILATATION,5
PULMONARY INFARCTION,5
TRICUSPID VALVE INCOMPETENCE,5
SALIVARY HYPERSECRETION,5
MENTAL IMPAIRMENT,5
PSEUDOCIRRHOSIS,5
RESPIRATORY TRACT INFECTION,5
RASH PUSTULAR,5
PEPTIC ULCER,5
WITHDRAWAL SYNDROME,5
MESENTERIC ARTERY THROMBOSIS,5
THYROID FUNCTION TEST ABNORMAL,5
ANGIOPATHY,5
SERONEGATIVE ARTHRITIS,5
PROCTITIS,5
INJECTION SITE DISCOMFORT,5
AMOEBIC COLITIS,5
PORTAL VENOUS GAS,5
DISTURBANCE IN ATTENTION,5
ONCOLOGIC COMPLICATION,5
CHEMICAL PERITONITIS,5
STAPHYLOCOCCAL SEPSIS,5
AUTOIMMUNE HAEMOLYTIC ANAEMIA,5
ASPARTATE AMINOTRANSFERASE ABNORMAL,5
SPINAL COMPRESSION FRACTURE,5
PRODUCT SELECTION ERROR,5
INTERVERTEBRAL DISC PROTRUSION,5
APPENDICITIS PERFORATED,5
REGURGITATION,5
OSTEOARTHRITIS,5
FLANK PAIN,5
IMMUNE-MEDIATED ADVERSE REACTION,5
NOCTURNAL DYSPNOEA,5
RADIATION PNEUMONITIS,5
NEUTROPHIL COUNT ABNORMAL,5
RENAL TUBULAR NECROSIS,5
ABNORMAL SENSATION IN EYE,5
INTESTINAL HAEMORRHAGE,5
FAECALOMA,5
APLASTIC ANAEMIA,5
DUODENAL ULCER,5
COLON CANCER,5
VITAMIN B1 DEFICIENCY,5
MACULAR OEDEMA,5
METABOLIC DISORDER,5
NEPHROPATHY,5
ROAD TRAFFIC ACCIDENT,5
BILIRUBIN CONJUGATED INCREASED,5
EMOTIONAL DISTRESS,5
POSTRENAL FAILURE,5
SKULL FRACTURE,5
HERNIA,5
BRAIN ABSCESS,5
JOINT CONTRACTURE,5
ANGINA UNSTABLE,5
KLEBSIELLA INFECTION,5
ARTHROPATHY,5
MALIGNANT MESENTERIC NEOPLASM,5
BLOOD THYROID STIMULATING HORMONE INCREASED,5
THYROXINE FREE DECREASED,5
PALMAR ERYTHEMA,5
PYOMYOSITIS,5
VASCULAR PAIN,5
OBSTRUCTION,5
HYPERGLYCAEMIC HYPEROSMOLAR NONKETOTIC SYNDROME,5
ABDOMINAL ADHESIONS,5
GASTRIC OPERATION,5
DYSPHORIA,5
GOUT,5
STREPTOCOCCAL INFECTION,5
CATHETER SITE ERYTHEMA,5
ELECTROCARDIOGRAM ST SEGMENT ELEVATION,5
CHEST X-RAY ABNORMAL,5
EYE DISORDER,5
MEDICAL DEVICE SITE INFECTION,5
PRIMARY HYPOTHYROIDISM,5
ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE VASCULITIS,5
ARTERIOSCLEROSIS,5
PSEUDOMONAS INFECTION,5
YELLOW SKIN,5
CLOSTRIDIUM TEST POSITIVE,4
PARANEOPLASTIC SYNDROME,4
FAECES PALE,4
PERIORBITAL OEDEMA,4
METASTASES TO OVARY,4
PURPURA,4
BLOOD BICARBONATE DECREASED,4
GINGIVAL SWELLING,4
HEART RATE IRREGULAR,4
PROTEIN URINE,4
EYELID OEDEMA,4
ATRIAL FLUTTER,4
DIPLEGIA,4
MITRAL VALVE INCOMPETENCE,4
VENTRICULAR HYPOKINESIA,4
PERSONALITY CHANGE,4
GASTROOESOPHAGEAL CANCER,4
STREPTOCOCCUS TEST POSITIVE,4
DEVICE DISLOCATION,4
ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,4
HYPERCREATININAEMIA,4
OESOPHAGEAL ULCER,4
PRERENAL FAILURE,4
DROWNING,4
DRUG LEVEL INCREASED,4
COMA HEPATIC,4
OCULAR ICTERUS,4
INCREASED TENDENCY TO BRUISE,4
THROMBOSIS IN DEVICE,4
RETINAL HAEMORRHAGE,4
ACUTE INTERSTITIAL PNEUMONITIS,4
KOUNIS SYNDROME,4
LUNG NEOPLASM,4
BREAST CANCER METASTATIC,4
BACILLUS INFECTION,4
AORTIC ANEURYSM RUPTURE,4
RIGHT VENTRICULAR FAILURE,4
LICHENOID KERATOSIS,4
URINARY TRACT OBSTRUCTION,4
PANCREATIC CARCINOMA,4
JEJUNAL PERFORATION,4
LABELLED DRUG-DRUG INTERACTION MEDICATION ERROR,4
GASTRIC MUCOSAL LESION,4
SUPRAVENTRICULAR EXTRASYSTOLES,4
ANEURYSM RUPTURED,4
HEPATIC MASS,4
INCISIONAL HERNIA,4
BLOOD PRESSURE DIASTOLIC DECREASED,4
GASTROINTESTINAL SOUNDS ABNORMAL,4
ABDOMINAL MASS,4
GASTROINTESTINAL INFECTION,4
GASTRIC ULCER PERFORATION,4
RESTLESS LEGS SYNDROME,4
FIBRIN D DIMER INCREASED,4
RENAL INFARCT,4
SUPERIOR SAGITTAL SINUS THROMBOSIS,4
SENSATION OF FOREIGN BODY,4
HYPERTENSIVE CRISIS,4
NEGATIVE THOUGHTS,4
ENDOCARDITIS,4
BENIGN PROSTATIC HYPERPLASIA,4
ANASTOMOTIC HAEMORRHAGE,4
POLYURIA,4
PORTAL SHUNT,4
PULMONARY THROMBOSIS,4
SCAR,4
HEREDITARY MOTOR AND SENSORY NEUROPATHY,4
PELVIC VENOUS THROMBOSIS,4
METASTASES TO ADRENALS,4
GASTROINTESTINAL STENOSIS,4
HEPATIC ENZYME ABNORMAL,4
METASTASES TO SKIN,4
GASTROINTESTINAL TUBE INSERTION,4
TRANSFUSION,4
PRODUCT PREPARATION ERROR,4
MUSCLE TWITCHING,4
ABDOMINAL RIGIDITY,4
BRAIN STEM HAEMORRHAGE,4
HAIR GROWTH ABNORMAL,4
ABDOMINAL HERNIA,4
INCORRECT ROUTE OF PRODUCT ADMINISTRATION,4
ENDOCRINE DISORDER,4
ENTEROCUTANEOUS FISTULA,4
PELVIC FLUID COLLECTION,4
ENCEPHALITIS AUTOIMMUNE,4
CUTANEOUS SYMPTOM,4
VITAMIN B12 DECREASED,4
PERIRECTAL ABSCESS,4
ATRIAL TACHYCARDIA,4
NAIL DISCOLOURATION,4
GUILLAIN-BARRE SYNDROME,4
LEUKODERMA,4
ACCIDENT,4
OROPHARYNGEAL DISCOMFORT,4
CARDIOPULMONARY FAILURE,4
CEREBRAL HAEMORRHAGE NEONATAL,4
LOWER GASTROINTESTINAL HAEMORRHAGE,4
LARGE INTESTINAL OBSTRUCTION,4
GASTROENTERITIS NOROVIRUS,4
PANCREATIC FISTULA,4
BREAST MASS,4
ACUTE AORTIC SYNDROME,4
ARTERIAL INTRAMURAL HAEMATOMA,4
DEVICE ADHESION ISSUE,4
PROTEIN-LOSING GASTROENTEROPATHY,4
CEREBRAL PALSY,4
HEMIANOPIA,4
SMALL FOR DATES BABY,4
NECROTISING FASCIITIS,4
DIFFUSE LARGE B-CELL LYMPHOMA,4
COLOSTOMY,4
ELECTROCARDIOGRAM REPOLARISATION ABNORMALITY,4
ALANINE AMINOTRANSFERASE ABNORMAL,4
CYST,4
LYMPHADENOPATHY MEDIASTINAL,4
EYE SYMPTOM,4
PUSTULE,4
ABNORMAL FAECES,4
ORAL MUCOSA EROSION,4
RENAL TUBULAR DISORDER,4
IRRITABILITY,4
PARAPLEGIA,4
CRITICAL ILLNESS,4
ANAL INCONTINENCE,4
SNEEZING,4
SERUM FERRITIN INCREASED,4
ACUTE PULMONARY OEDEMA,4
HERPES VIRUS INFECTION,4
BLOOD CHLORIDE INCREASED,4
HEPATORENAL SYNDROME,4
PSORIATIC ARTHROPATHY,4
NIGHT SWEATS,4
NEUTROPENIC INFECTION,4
MARASMUS,4
EYE DISCHARGE,4
CLONAL HAEMATOPOIESIS,4
GENE MUTATION,4
DEVICE MALFUNCTION,4
TYPE I HYPERSENSITIVITY,4
LUNG OPACITY,4
PRODUCT PRESCRIBING ISSUE,4
BRAIN HERNIATION,4
CEREBRAL ATROPHY,4
DUODENITIS,4
TRI-IODOTHYRONINE FREE DECREASED,4
PNEUMONIA STREPTOCOCCAL,4
MALIGNANT PERITONEAL NEOPLASM,4
BLOOD PRESSURE IMMEASURABLE,4
PULSE PRESSURE DECREASED,4
REFUSAL OF TREATMENT BY PATIENT,4
METABOLIC ALKALOSIS,4
PERITONITIS BACTERIAL,4
HAIR TEXTURE ABNORMAL,3
NASAL CONGESTION,3
SUNBURN,3
DEMENTIA ALZHEIMER'S TYPE,3
DRUG ABUSE,3
MUCOSAL ULCERATION,3
BONE DISORDER,3
HAEMOLYSIS,3
TOOTH DISORDER,3
BLOOD PHOSPHORUS DECREASED,3
NEUROLOGICAL SYMPTOM,3
BLOOD TRIGLYCERIDES INCREASED,3
APNOEA,3
MESENTERIC VEIN THROMBOSIS,3
PANIC ATTACK,3
PETECHIAE,3
DISEASE COMPLICATION,3
GASTROINTESTINAL MUCOSAL DISORDER,3
INDURATION,3
INTERNAL HAEMORRHAGE,3
HEAD DISCOMFORT,3
BLINDNESS TRANSIENT,3
TRICHOMEGALY,3
GINGIVAL PAIN,3
EMBOLIC STROKE,3
HYPERTRIGLYCERIDAEMIA,3
PROCEDURAL COMPLICATION,3
OESOPHAGOBRONCHIAL FISTULA,3
PNEUMOMEDIASTINUM,3
HEAD INJURY,3
FAILURE TO ANASTOMOSE,3
HEPATOMEGALY,3
WHITE BLOOD CELL COUNT,3
NEUTROPHIL COUNT,3
VENTRICULAR DYSFUNCTION,3
ACCIDENTAL OVERDOSE,3
BRAIN NEOPLASM,3
DIAPHRAGMATIC HERNIA,3
ENTEROCOCCAL INFECTION,3
GLOMERULONEPHRITIS,3
SCAB,3
SKIN ATROPHY,3
PATHOLOGICAL FRACTURE,3
PNEUMONIA CYTOMEGALOVIRAL,3
SKIN HAEMORRHAGE,3
ELECTROENCEPHALOGRAM ABNORMAL,3
VASCULAR INJURY,3
SECRETION DISCHARGE,3
RASH PAPULAR,3
TUMOUR PAIN,3
DEFAECATION URGENCY,3
PERITONEAL DISORDER,3
PRODUCT SUBSTITUTION ISSUE,3
THERAPEUTIC RESPONSE UNEXPECTED,3
BLOOD PRESSURE FLUCTUATION,3
MALIGNANT MELANOMA,3
LARGE INTESTINAL ULCER,3
INTESTINAL FISTULA,3
TUMOUR INVASION,3
PROTHROMBIN TIME RATIO INCREASED,3
METASTASES TO KIDNEY,3
ANAL FISTULA,3
INJECTION SITE HAEMORRHAGE,3
TUMOUR COMPRESSION,3
PULMONARY ARTERIAL HYPERTENSION,3
VENTRICULAR HYPERTROPHY,3
DUMPING SYNDROME,3
PLATELET COUNT ABNORMAL,3
ATYPICAL PNEUMONIA,3
BLOOD CHROMOGRANIN A INCREASED,3
OSTEONECROSIS,3
HEART RATE ABNORMAL,3
TOOTHACHE,3
KLEBSIELLA SEPSIS,3
CARDIAC FAILURE CHRONIC,3
PHLEBITIS,3
CAPILLARY LEAK SYNDROME,3
THERAPY CHANGE,3
AORTO-OESOPHAGEAL FISTULA,3
BONE CANCER,3
ERUCTATION,3
BLOOD LOSS ANAEMIA,3
LIP PAIN,3
VASCULAR PSEUDOANEURYSM RUPTURED,3
MYELOPATHY,3
SPINAL FRACTURE,3
DYSLALIA,3
DIABETES MELLITUS INADEQUATE CONTROL,3
LIMB INJURY,3
HEPATIC INFECTION,3
SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,3
CARDIAC OPERATION,3
HYPOREFLEXIA,3
RENAL HAEMORRHAGE,3
PARKINSONISM,3
HAEMANGIOMA,3
DECREASED IMMUNE RESPONSIVENESS,3
VENTRICULAR ARRHYTHMIA,3
PARESIS,3
CARDIAC VENTRICULAR THROMBOSIS,3
SHOCK SYMPTOM,3
BLINDNESS UNILATERAL,3
OPTIC NERVE DISORDER,3
JOINT STIFFNESS,3
IMMUNE-MEDIATED HYPOPHYSITIS,3
CORONARY ARTERY OCCLUSION,3
GLOSSITIS,3
SPINAL CORD COMPRESSION,3
HYPERAMYLASAEMIA,3
PARANEOPLASTIC DERMATOMYOSITIS,3
INFECTIVE SPONDYLITIS,3
FOCAL NODULAR HYPERPLASIA,3
FIBRIN DEGRADATION PRODUCTS INCREASED,3
PHARYNGEAL PARAESTHESIA,3
RHINALGIA,3
POLYP,3
HAND-FOOT-AND-MOUTH DISEASE,3
BLOOD CREATININE ABNORMAL,3
HYPONATRAEMIC SYNDROME,3
KERATOACANTHOMA,3
PERICARDITIS MALIGNANT,3
OESOPHAGEAL ACHALASIA,3
INTENTIONAL UNDERDOSE,3
PNEUMONIA PNEUMOCOCCAL,3
CHYLOTHORAX,3
URINARY BLADDER HAEMORRHAGE,3
NICOTINIC ACID DEFICIENCY,3
MUCOSAL NECROSIS,3
PHOTOSENSITIVITY REACTION,3
FUNGAEMIA,3
BRAIN NATRIURETIC PEPTIDE INCREASED,3
ABSCESS LIMB,3
PHARYNGEAL INFLAMMATION,3
EMOTIONAL DISORDER,3
VENOUS OCCLUSION,3
DUODENAL OBSTRUCTION,3
LYMPHOCYTIC HYPOPHYSITIS,3
MYOCLONUS,3
ARTERIAL HAEMORRHAGE,3
IMMUNOSUPPRESSION,3
SPINAL OSTEOARTHRITIS,3
METASTASES TO PANCREAS,3
HEMIPARESIS,3
HAEMORRHAGIC DISORDER,3
LYMPHADENITIS,3
ANTIPHOSPHOLIPID SYNDROME,3
INTRA-ABDOMINAL HAEMORRHAGE,3
PAROTITIS,3
VENTRICULAR EXTRASYSTOLES,3
CELL MARKER INCREASED,3
ASPERGILLUS INFECTION,3
UPPER LIMB FRACTURE,3
EPIGASTRIC DISCOMFORT,3
TOOTH ABSCESS,3
BRAIN CONTUSION,3
FEBRILE INFECTION,3
GASTROINTESTINAL ISCHAEMIA,3
RHEUMATIC DISORDER,3
SYSTEMIC INFECTION,3
ANASTOMOTIC ULCER HAEMORRHAGE,3
MUCOCUTANEOUS DISORDER,3
GASTROINTESTINAL STOMA COMPLICATION,3
RETINAL VEIN OCCLUSION,3
CARBOHYDRATE ANTIGEN 72-4 INCREASED,3
DEVICE USE ERROR,3
PLATELET DISORDER,3
SUPERINFECTION,3
IMPAIRED WORK ABILITY,3
WHITE BLOOD CELL DISORDER,3
METASTASES TO SPINE,3
OPTIC NEURITIS,3
EYE PRURITUS,3
OVARIAN CYST,3
LYMPHORRHOEA,3
LARYNGEAL DISCOMFORT,3
PULMONARY SEPSIS,3
IMMUNE-MEDIATED ENDOCRINOPATHY,3
COLORECTAL CANCER,3
IMMUNE-MEDIATED ARTHRITIS,3
LIP EROSION,3
INFLAMMATORY MARKER INCREASED,3
SKIN INFECTION,3
EYELID FUNCTION DISORDER,3
RENAL TUBULAR INJURY,3
BLOOD ELECTROLYTES DECREASED,3
OCULAR TOXICITY,3
IMMUNE-MEDIATED THYROIDITIS,3
TUMOUR ASSOCIATED FEVER,3
HEPATIC CANCER RECURRENT,3
PSYCHOMOTOR RETARDATION,3
ACUTE ABDOMEN,3
ANASTOMOTIC FISTULA,3
PANCREATIC CARCINOMA METASTATIC,3
ATRIOVENTRICULAR BLOCK SECOND DEGREE,3
OCULAR DISCOMFORT,3
CAROTID ARTERY STENOSIS,3
BLOOD CHLORIDE DECREASED,3
AUTOIMMUNE DISORDER,3
CYTOMEGALOVIRUS INFECTION,3
HAND FRACTURE,3
BLADDER TAMPONADE,3
INTERNAL HERNIA,3
CYTOMEGALOVIRUS INFECTION REACTIVATION,3
POST PROCEDURAL DIARRHOEA,3
URINE ODOUR ABNORMAL,3
ENTEROBACTER INFECTION,3
ABDOMINAL WALL ABSCESS,3
BUNDLE BRANCH BLOCK RIGHT,3
ALBUMINURIA,3
PYODERMA GANGRENOSUM,3
CHOKING SENSATION,3
DRY AGE-RELATED MACULAR DEGENERATION,3
NEOVASCULAR AGE-RELATED MACULAR DEGENERATION,3
SOLAR LENTIGO,3
MUSCLE RIGIDITY,3
GLOMERULAR FILTRATION RATE DECREASED,3
CHOLANGITIS ACUTE,3
CYTOMEGALOVIRUS HEPATITIS,3
ASPERGILLUS TEST POSITIVE,3
EOSINOPHILIA,3
MOTOR DYSFUNCTION,3
HYPERPARATHYROIDISM,3
HELICOBACTER TEST POSITIVE,3
SARS-COV-2 TEST POSITIVE,3
SYMPTOM RECURRENCE,3
ADENOCARCINOMA METASTATIC,3
GASTRIC FISTULA,3
SINUS OPERATION,3
URINE VISCOSITY ABNORMAL,3
ADRENALITIS,3
EAR PAIN,3
SUBDURAL HAEMORRHAGE,3
PRODUCT PRESCRIBING ERROR,3
ADAMS-STOKES SYNDROME,3
VERTIGO POSITIONAL,3
RADIATION INJURY,3
INTERLEUKIN LEVEL INCREASED,3
NON-CIRRHOTIC PORTAL HYPERTENSION,3
BRAIN DEATH,3
HYPOXIC-ISCHAEMIC ENCEPHALOPATHY,3
SPUTUM DISCOLOURED,3
ARRHYTHMIA SUPRAVENTRICULAR,3
BLOOD CREATINE INCREASED,3
BLOOD URIC ACID INCREASED,3
URINARY HESITATION,3
BRAIN STEM INFARCTION,3
HAEMODIALYSIS,3
PARKINSON'S DISEASE,3
CARBON DIOXIDE DECREASED,3
CHEILITIS,3
HYPOTONIA,3
EROSIVE OESOPHAGITIS,3
CATHETER SITE PAIN,3
CUTANEOUS LUPUS ERYTHEMATOSUS,3
CARDIAC MURMUR,3
FRACTURED SACRUM,3
HYPOCAPNIA,3
MYDRIASIS,3
RADIATION OESOPHAGITIS,3
GASTROINTESTINAL ULCER,3
GANGRENE,3
LEPROSY,3
HYPERVENTILATION,3
ESCHERICHIA TEST POSITIVE,2
CONCUSSION,2
CHOLECYSTECTOMY,2
POTENTIATING DRUG INTERACTION,2
BLOOD HYPOSMOSIS,2
HYPERSTHENURIA,2
MULTI-ORGAN DISORDER,2
HYPERAEMIA,2
SUICIDE ATTEMPT,2
CARBOHYDRATE ANTIGEN 125 INCREASED,2
GINGIVITIS,2
HYPERLIPIDAEMIA,2
RED CELL DISTRIBUTION WIDTH INCREASED,2
VARICELLA,2
BLADDER DISORDER,2
HYPERTENSIVE ENCEPHALOPATHY,2
SUPERIOR VENA CAVA SYNDROME,2
STATUS EPILEPTICUS,2
GASTROENTERITIS VIRAL,2
NEUTROPHIL PERCENTAGE INCREASED,2
THROMBOSIS MESENTERIC VESSEL,2
TONGUE DISCOLOURATION,2
CENTRAL NERVOUS SYSTEM LESION,2
STAPHYLOCOCCUS TEST POSITIVE,2
RIGHT ATRIAL DILATATION,2
CARDIAC VENTRICULAR DISORDER,2
CATHETER SITE RELATED REACTION,2
CATHETER SITE SWELLING,2
ANAL ULCER,2
RENAL COLIC,2
ARTERIOSCLEROSIS CORONARY ARTERY,2
TONGUE ULCERATION,2
POSTOPERATIVE ADHESION,2
PERIODONTITIS,2
BLOOD CHOLESTEROL INCREASED,2
REFRACTORY CANCER,2
SKIN IRRITATION,2
DUODENAL ULCER HAEMORRHAGE,2
PCO2 DECREASED,2
CULTURE POSITIVE,2
HAEMANGIOMA OF SKIN,2
CEREBRAL THROMBOSIS,2
VENOOCCLUSIVE DISEASE,2
GALLBLADDER OBSTRUCTION,2
KERATITIS,2
COAGULATION TEST ABNORMAL,2
SKIN WRINKLING,2
FAECES HARD,2
CYTOMEGALOVIRUS ENTEROCOLITIS,2
LYMPHOEDEMA,2
CEREBROVASCULAR DISORDER,2
EAR DISORDER,2
LIP DISCOLOURATION,2
BLOOD BILIRUBIN UNCONJUGATED INCREASED,2
PHOTOPSIA,2
INADEQUATE DIET,2
TOOTH DISCOLOURATION,2
POST HERPETIC NEURALGIA,2
ORAL MUCOSAL ERYTHEMA,2
SPUTUM RETENTION,2
FOOD AVERSION,2
VOLVULUS,2
MENINGITIS,2
GASTROINTESTINAL FISTULA,2
APHONIA,2
URETERIC STENOSIS,2
HAEMOGLOBINAEMIA,2
BREAST ENLARGEMENT,2
MACULOPATHY,2
FORMICATION,2
PROCALCITONIN INCREASED,2
ILEAL PERFORATION,2
ANGLE CLOSURE GLAUCOMA,2
URINE FLOW DECREASED,2
SMALL INTESTINE ULCER,2
ORAL DISCOMFORT,2
TONGUE DISCOMFORT,2
CHOKING,2
OESOPHAGEAL DISORDER,2
DYSCHEZIA,2
UPPER RESPIRATORY TRACT INFLAMMATION,2
BLADDER CANCER,2
PUTAMEN HAEMORRHAGE,2
DIAPHRAGMATIC DISORDER,2
PELVIC DISCOMFORT,2
ARTERIAL INJURY,2
