PT,n
DEVICE FAILURE,2
KLEBSIELLA BACTERAEMIA,2
POST PROCEDURAL INFECTION,2
HAIR DISORDER,2
IDIOPATHIC PULMONARY FIBROSIS,2
HEAT ILLNESS,2
HEPATIC PAIN,2
HAEMOSTASIS,2
AORTIC DISSECTION,2
RESPIRATORY TRACT HAEMORRHAGE,2
CHRONIC MYELOID LEUKAEMIA,2
TOOTH INFECTION,2
OESOPHAGEAL FISTULA,2
MUSCLE FATIGUE,2
SLUGGISHNESS,2
FOOD CRAVING,2
ACCIDENTAL EXPOSURE TO PRODUCT,2
RASH VESICULAR,2
DIZZINESS POSTURAL,2
QUADRIPLEGIA,2
BLOOD ALKALINE PHOSPHATASE ABNORMAL,2
HYPERMETABOLISM,2
INJECTION SITE EXTRAVASATION,2
POLYDIPSIA,2
PRODUCT ADHESION ISSUE,2
PARALYSIS RECURRENT LARYNGEAL NERVE,2
COMPUTERISED TOMOGRAM THORAX ABNORMAL,2
PNEUMONIA NECROTISING,2
FISTULA OF SMALL INTESTINE,2
DUODENAL STUMP FISTULA,2
TRISMUS,2
MYASTHENIA GRAVIS CRISIS,2
GENITAL HAEMORRHAGE,2
GASTROENTERITIS STAPHYLOCOCCAL,2
ATRIAL THROMBOSIS,2
OESOPHAGITIS HAEMORRHAGIC,2
DUODENAL STENOSIS,2
EVANS SYNDROME,2
AFFERENT LOOP SYNDROME,2
PRIMARY ADRENAL INSUFFICIENCY,2
HAEMOGLOBIN INCREASED,2
RED BLOOD CELL COUNT INCREASED,2
JAUNDICE ACHOLURIC,2
METASTASES TO MUSCLE,2
CHRONIC INFLAMMATORY DEMYELINATING POLYRADICULONEUROPATHY,2
BRONCHITIS BACTERIAL,2
SKIN NECROSIS,2
TUMOUR PSEUDOPROGRESSION,2
HYPERSENSITIVITY PNEUMONITIS,2
MENINGEAL DISORDER,2
PLATELET TOXICITY,2
SINUS NODE DYSFUNCTION,2
UPPER GASTROINTESTINAL PERFORATION,2
ECTHYMA,2
AUTOIMMUNE CHOLANGITIS,2
ABDOMINAL CAVITY DRAINAGE,2
CORTISOL INCREASED,2
SALIVARY DUCT INFLAMMATION,2
HASHIMOTO'S ENCEPHALOPATHY,2
PSYCHOLOGICAL TRAUMA,2
HYDROCEPHALUS,2
THERAPEUTIC PROCEDURE,2
CALCULUS URINARY,2
CENTRAL NERVOUS SYSTEM NECROSIS,2
BILE DUCT CANCER,2
IMMOBILE,2
BURSITIS,2
PAPULE,2
HYPERCHLORHYDRIA,2
NON-CARDIAC CHEST PAIN,2
CONCOMITANT DISEASE AGGRAVATED,2
FUNCTIONAL GASTROINTESTINAL DISORDER,2
HELICOBACTER INFECTION,2
SLEEP APNOEA SYNDROME,2
POOR QUALITY PRODUCT ADMINISTERED,2
SEPTIC PULMONARY EMBOLISM,2
SCROTAL SWELLING,2
PALMOPLANTAR KERATODERMA,2
CATHETER SITE INFECTION,2
BLAST CELLS PRESENT,2
GLOMERULAR VASCULAR DISORDER,2
RETICULOCYTE COUNT INCREASED,2
LATENT AUTOIMMUNE DIABETES IN ADULTS,2
GASTROINTESTINAL WALL THICKENING,2
BLOOD CORTICOTROPHIN ABNORMAL,2
MUTISM,2
SKIN SWELLING,2
POLYARTHRITIS,2
AKATHISIA,2
ISCHAEMIC CARDIOMYOPATHY,2
HEPATOBILIARY DISEASE,2
CATHETER SITE HAEMORRHAGE,2
PANCREATIC NEOPLASM,2
DEVICE PROGRAMMING ERROR,2
WRONG RATE,2
DIALYSIS,2
GLOMERULONEPHRITIS MEMBRANOUS,2
LOWER GASTROINTESTINAL PERFORATION,2
VITAMIN B1 DECREASED,2
LOGORRHOEA,2
PERIPHERAL SENSORIMOTOR NEUROPATHY,2
SKIN LACERATION,2
TRAUMATIC LUNG INJURY,2
LIP OEDEMA,2
ENDOTHELIAL DYSFUNCTION,2
INTUSSUSCEPTION,2
HAEMATOLOGICAL INFECTION,2
TUMOUR ULCERATION,2
ULCERATIVE KERATITIS,2
SKIN BURNING SENSATION,2
CHOLECYSTITIS CHRONIC,2
URETERIC HAEMORRHAGE,2
PRODUCT SUPPLY ISSUE,2
SARCOMA,2
SKIN WOUND,2
NEONATAL RESPIRATORY DISTRESS SYNDROME,2
TUMOUR HYPERPROGRESSION,2
BACK DISORDER,2
AUTOIMMUNE DERMATITIS,2
OROPHARYNGEAL FISTULA,2
HEPATIC CYST,2
SINUS DISORDER,2
ARTERIAL OCCLUSIVE DISEASE,2
GASTROINTESTINAL NEOPLASM,2
MESENTERIC ARTERY EMBOLISM,2
EXPIRED PRODUCT ADMINISTERED,2
CANCER SURGERY,2
NEUROLEPTIC MALIGNANT SYNDROME,2
INTESTINAL METASTASIS,2
TOXIC SHOCK SYNDROME,2
SEROUS RETINAL DETACHMENT,2
OROPHARYNGEAL CANDIDIASIS,2
IMMUNE-MEDIATED NEUROPATHY,2
LHERMITTE'S SIGN,2
PREALBUMIN DECREASED,2
VOLUME BLOOD DECREASED,2
INTERVERTEBRAL DISCITIS,2
SPONDYLITIS,2
SPINAL PAIN,2
LYMPHATIC DISORDER,2
METASTASES TO PLEURA,2
HEPATIC INFARCTION,2
PERIPHERAL NERVE LESION,2
HYPERNATRAEMIA,2
STENT MALFUNCTION,2
POOR QUALITY SLEEP,2
DIABETIC KETOSIS,2
HILAR LYMPHADENOPATHY,2
RETROPERITONEAL LYMPHADENOPATHY,2
SKIN MASS,2
LIGAMENT SPRAIN,2
METASTASES TO GASTROINTESTINAL TRACT,2
SKIN INJURY,2
HEPATORENAL FAILURE,2
MEDIASTINAL DISORDER,2
CANDIDA PNEUMONIA,2
TIBIA FRACTURE,2
CYTOKINE STORM,2
PENILE EROSION,2
INTERVERTEBRAL DISC DEGENERATION,2
PROCEDURAL PAIN,2
TREATMENT DELAYED,2
AUTOIMMUNE HYPOTHYROIDISM,2
MOTION SICKNESS,2
SPINAL EPIDURAL HAEMATOMA,2
PSOAS ABSCESS,2
BLOOD CREATINE PHOSPHOKINASE MB INCREASED,2
HYPERTENSIVE EMERGENCY,2
ASTEATOSIS,2
HIATUS HERNIA,2
BLOOD FIBRINOGEN DECREASED,2
DYSAESTHESIA,2
MYOGLOBIN BLOOD INCREASED,2
RETROPERITONEAL ABSCESS,2
NERVE COMPRESSION,2
RESPIRATORY SYMPTOM,2
SCROTAL INFECTION,2
RESPIRATORY ACIDOSIS,2
EXTRADURAL HAEMATOMA,2
INJECTION SITE MASS,2
ANTI-THYROID ANTIBODY POSITIVE,2
HYPOPNOEA,2
INFUSION SITE ERYTHEMA,2
DACRYOSTENOSIS ACQUIRED,2
ALVEOLITIS,2
CAMPYLOBACTER GASTROENTERITIS,2
INFUSION SITE OEDEMA,2
VITAMIN B12 DEFICIENCY,2
ISCHAEMIC CEREBRAL INFARCTION,2
ABNORMAL LOSS OF WEIGHT,2
HEPATITIS CHOLESTATIC,2
NERVE INJURY,2
MYCOBACTERIUM AVIUM COMPLEX INFECTION,2
GASTRIC ATONY,2
INFUSION RELATED HYPERSENSITIVITY REACTION,2
GLYCOSYLATED HAEMOGLOBIN INCREASED,2
PANCREATIC ENZYMES INCREASED,2
METASTASES TO ABDOMINAL WALL,2
POSTOPERATIVE WOUND COMPLICATION,2
EYE MOVEMENT DISORDER,2
PHARYNGEAL ULCERATION,2
ATYPICAL MYCOBACTERIAL INFECTION,2
NEUROMYOPATHY,2
BILIARY COLIC,2
URINARY BLADDER HAEMATOMA,2
INFUSION SITE REACTION,2
DRY THROAT,2
THORACIC VERTEBRAL FRACTURE,2
EYE CONTUSION,2
AUDITORY DISORDER,2
ANTI-GAD ANTIBODY NEGATIVE,2
PRINZMETAL ANGINA,2
TENDONITIS,2
PARAESTHESIA ORAL,2
INTENTIONAL DOSE OMISSION,2
HEAT STROKE,2
ORAL LICHEN PLANUS,2
TINEA PEDIS,2
DIABETIC COMA,2
SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION,2
TRANSAMINASES ABNORMAL,2
EARLY SATIETY,2
SUPERIOR MESENTERIC ARTERY SYNDROME,2
HUNGER,2
WEIGHT ABNORMAL,2
CHRONIC CUTANEOUS LUPUS ERYTHEMATOSUS,2
CHANGE OF BOWEL HABIT,2
CYTOMEGALOVIRUS TEST POSITIVE,2
RHINITIS,2
ANOREXIA NERVOSA,2
PALLIATIVE CARE,2
THROMBOCYTOPENIC PURPURA,2
PULMONARY VENO-OCCLUSIVE DISEASE,2
DYSLIPIDAEMIA,2
CHRONIC EOSINOPHILIC RHINOSINUSITIS,2
PSEUDOMONAS BRONCHITIS,2
RED BLOOD CELL SEDIMENTATION RATE INCREASED,2
GASTROENTERITIS BACILLUS,2
MYOCARDIAL INJURY,2
SUBDURAL ABSCESS,2
ANTIACETYLCHOLINE RECEPTOR ANTIBODY POSITIVE,2
OCCULT BLOOD POSITIVE,2
NEUTROPHIL PERCENTAGE DECREASED,2
LARGE INTESTINE BENIGN NEOPLASM,2
THYROID MASS,2
PRIMARY BILIARY CHOLANGITIS,2
CHOLANGITIS INFECTIVE,2
HEPATIC ARTERY ANEURYSM,2
IMMUNE-MEDIATED PANCREATITIS,2
PARENTERAL NUTRITION,2
SEVERE INVASIVE STREPTOCOCCAL INFECTION,2
POLYMYALGIA RHEUMATICA,2
PAINFUL RESPIRATION,2
HIGH DENSITY LIPOPROTEIN INCREASED,2
PLANTAR ERYTHEMA,2
BREAST CANCER,2
THERAPEUTIC RESPONSE INCREASED,2
DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,2
CORNEAL EROSION,2
LIP HAEMORRHAGE,2
LIP BLISTER,2
LABYRINTHITIS,2
OESOPHAGEAL ADENOCARCINOMA,2
NONINFECTIVE CONJUNCTIVITIS,2
AUTOIMMUNE EYE DISORDER,2
RADIOTHERAPY,2
DRUG EFFECTIVE FOR UNAPPROVED INDICATION,2
INTESTINAL ANASTOMOSIS COMPLICATION,2
BOWEL MOVEMENT IRREGULARITY,2
NEURODERMATITIS,2
NASAL SEPTUM PERFORATION,2
OPTIC ISCHAEMIC NEUROPATHY,2
CUSHING'S SYNDROME,2
DILATED CARDIOMYOPATHY,2
TRI-IODOTHYRONINE DECREASED,2
THYROXINE DECREASED,2
LIQUID PRODUCT PHYSICAL ISSUE,2
GLOMERULONEPHRITIS RAPIDLY PROGRESSIVE,2
EPIDERMOLYSIS BULLOSA,2
OESOPHAGEAL INJURY,2
FOAMING AT MOUTH,2
SUSPECTED COVID-19,2
ENTEROCOCCAL SEPSIS,2
IMMUNE-MEDIATED SCLERITIS,2
SCAR PAIN,2
GASTRIC ULCER HELICOBACTER,2
PYURIA,2
HYPOGEUSIA,2
SOMATIC SYMPTOM DISORDER,2
GASTROENTERITIS ESCHERICHIA COLI,2
SINUS ARREST,2
HEPATITIS VIRAL,2
BRADYPNOEA,2
URINE ABNORMALITY,2
PREPYLORIC STENOSIS,2
RECTAL ULCER,2
COLONIC FISTULA,2
RESPIRATORY RATE DECREASED,2
BLOOD GASTRIN INCREASED,2
SEDATION,2
LEG AMPUTATION,2
POOR PERIPHERAL CIRCULATION,2
SHOCK HYPOGLYCAEMIC,2
CEREBRAL DISORDER,2
RESPIRATORY MONILIASIS,2
SCAN ABDOMEN ABNORMAL,2
CLOSTRIDIUM COLITIS,2
ACINETOBACTER INFECTION,2
BLOOD GLUCOSE FLUCTUATION,2
CULTURE WOUND POSITIVE,2
RENAL TUBULAR ACIDOSIS,2
AORTIC ARTERIOSCLEROSIS,2
BLOOD LACTIC ACID INCREASED,2
BLOOD PH INCREASED,2
MENINGISM,2
SPUTUM PURULENT,2
CULTURE URINE POSITIVE,2
COORDINATION ABNORMAL,2
BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,2
STOMACH MASS,2
ANAPHYLACTOID SHOCK,2
INTERNATIONAL NORMALISED RATIO ABNORMAL,2
CLONIC CONVULSION,2
HYPERURICAEMIA,2
INCOHERENT,2
DIVERTICULUM INTESTINAL,2
ADENOCARCINOMA OF THE CERVIX,2
ENDOMETRIAL CANCER STAGE I,2
METABOLIC ENCEPHALOPATHY,2
URETERIC DILATATION,2
SOFT TISSUE NECROSIS,2
BILIARY TRACT INFECTION BACTERIAL,2
HAEMOPHILUS INFECTION,2
SPLENIC INFARCTION,2
NODAL ARRHYTHMIA,2
CENTRAL VENOUS CATHETER REMOVAL,2
ENTEROCOLITIS INFECTIOUS,2
PROSTATITIS ESCHERICHIA COLI,2
GASTRITIS EROSIVE,2
EYE OEDEMA,2
BACTERIAL TEST POSITIVE,2
RESPIRATORY ALKALOSIS,2
ILEOSTOMY,2
WOUND TREATMENT,2
HEPATITIS B DNA INCREASED,2
STREPTOCOCCAL SEPSIS,2
EXERCISE TOLERANCE DECREASED,2
OTOTOXICITY,2
ALKALOSIS,2
URINARY TRACT DISORDER,2
ELECTROCARDIOGRAM T WAVE PEAKED,2
DIVERTICULUM,2
THYROID CANCER,2
MICTURITION DISORDER,2
BRONCHIECTASIS,2
CHRONIC GRANULOMATOUS DISEASE,2
HYPERAESTHESIA,2
PERONEAL NERVE PALSY,2
FUNGAL SKIN INFECTION,2
ABSCESS ORAL,2
EOSINOPHIL COUNT DECREASED,2
MONOCYTE COUNT DECREASED,2
HEART SOUNDS ABNORMAL,2
HYPERKINESIA,2
TONGUE DISORDER,2
EXTREMITY NECROSIS,2
ELECTROCARDIOGRAM CHANGE,2
ANKLE FRACTURE,2
MUSCLE CONTRACTIONS INVOLUNTARY,2
OESOPHAGEAL ULCER HAEMORRHAGE,2
BLADDER NEOPLASM,1
KLEBSIELLA TEST POSITIVE,1
BARRETT'S OESOPHAGUS,1
OEDEMA MUCOSAL,1
TUNNEL VISION,1
BREAST OEDEMA,1
BREAST NEOPLASM,1
RETICULOCYTE COUNT DECREASED,1
BLOOD CALCIUM INCREASED,1
CARBOHYDRATE ANTIGEN 15-3 INCREASED,1
GINGIVAL OPERATION,1
MEAN CELL HAEMOGLOBIN CONCENTRATION DECREASED,1
MEAN CELL VOLUME INCREASED,1
POOR VENOUS ACCESS,1
TOOTH EXTRACTION,1
TOOTH FRACTURE,1
GRIP STRENGTH DECREASED,1
GASTROINTESTINAL HYPERMOTILITY,1
COLON NEOPLASM,1
LARGE INTESTINAL POLYPECTOMY,1
SUBDURAL HYGROMA,1
SKIN DEPIGMENTATION,1
ELECTROMYOGRAM ABNORMAL,1
OESOPHAGEAL RUPTURE,1
STRANGURY,1
RECTAL OBSTRUCTION,1
"EAR, NOSE AND THROAT EXAMINATION ABNORMAL",1
ENDOTRACHEAL INTUBATION,1
INTENSIVE CARE,1
NUCHAL RIGIDITY,1
OPISTHOTONUS,1
HYPOCOAGULABLE STATE,1
JOINT LOCK,1
INVESTIGATION,1
LARYNGITIS,1
MUSCLE ABSCESS,1
ANAL PRURITUS,1
ROMBERG TEST POSITIVE,1
INFECTIVE AORTITIS,1
GOITRE,1
LEFT ATRIAL DILATATION,1
PULMONARY GRANULOMA,1
SCOLIOSIS,1
PARATHYROID DISORDER,1
BRAIN INJURY,1
TRACHEOMALACIA,1
SYSTEMIC CANDIDA,1
PULMONARY ENDARTERECTOMY,1
ABDOMINAL WALL DISORDER,1
MELANOSIS,1
HYPOCHROMASIA,1
OCULAR VASCULAR DISORDER,1
VASOSPASM,1
EAR CONGESTION,1
SPLENIC ABSCESS,1
ENTEROCOCCUS TEST POSITIVE,1
PNEUMONIA INFLUENZAL,1
IMPAIRED DRIVING ABILITY,1
BONE EROSION,1
REFLEXES ABNORMAL,1
PAROSMIA,1
INVESTIGATION ABNORMAL,1
BONE LOSS,1
CYSTITIS NONINFECTIVE,1
SUTURE RELATED COMPLICATION,1
PO2 DECREASED,1
B-CELL LYMPHOMA,1
STOMA SITE REACTION,1
PHARYNGEAL HYPOAESTHESIA,1
LARYNGEAL DYSPNOEA,1
PROTHROMBIN TIME RATIO ABNORMAL,1
COMMUNICATION DISORDER,1
ULCER HAEMORRHAGE,1
HEPATIC HAEMORRHAGE,1
CHROMOSOME ANALYSIS ABNORMAL,1
MYELOBLAST COUNT INCREASED,1
PROMYELOCYTE COUNT INCREASED,1
BLAST CRISIS IN MYELOGENOUS LEUKAEMIA,1
BONE MARROW TRANSPLANT,1
HAEMOCHROMATOSIS,1
SECONDARY IMMUNODEFICIENCY,1
STEM CELL TRANSPLANT,1
TRANSPLANT,1
CHOLESTATIC LIVER INJURY,1
LARYNGEAL PAIN,1
LEUKAEMIA,1
PROSTATOMEGALY,1
PICA,1
SKIN TEST POSITIVE,1
OROPHARYNGEAL SPASM,1
OTORRHOEA,1
DOUGLAS' ABSCESS,1
STARING,1
PANIC REACTION,1
C-KIT GENE MUTATION,1
ATYPICAL MYCOBACTERIAL PNEUMONIA,1
TOOTH DEPOSIT,1
GROIN PAIN,1
ECCRINE SQUAMOUS SYRINGOMETAPLASIA,1
FOREIGN BODY,1
SKIN SENSITISATION,1
VASCULAR MALFORMATION,1
POST PROCEDURAL BILE LEAK,1
FOCAL SEGMENTAL GLOMERULOSCLEROSIS,1
FACIAL SPASM,1
ISCHAEMIC HEPATITIS,1
EPIDURAL HAEMORRHAGE,1
T-LYMPHOCYTE COUNT DECREASED,1
ACUTE HEPATITIS B,1
ARTERIOENTERIC FISTULA,1
RHINITIS ALLERGIC,1
VOCAL CORD POLYP,1
HAEMORRHAGIC CYST,1
HYPERMAGNESAEMIA,1
EMBOLIC CEREBRAL INFARCTION,1
CATHETER SITE PRURITUS,1
LISTLESS,1
POST PROCEDURAL OEDEMA,1
HAEMODYNAMIC TEST ABNORMAL,1
SEBORRHOEIC DERMATITIS,1
CONCOMITANT DISEASE PROGRESSION,1
SPLENIC INFECTION,1
CORNEAL INFILTRATES,1
URINARY TRACT INFECTION BACTERIAL,1
METASTASES TO NERVOUS SYSTEM,1
VITREOUS HAEMORRHAGE,1
NAIL AVULSION,1
WHEELCHAIR USER,1
PAROXYSMAL ARRHYTHMIA,1
ENTEROBACTER TEST POSITIVE,1
EJACULATION FAILURE,1
LOSS OF LIBIDO,1
INFUSION SITE BRUISING,1
MUSCLE HYPERTROPHY,1
CARCINOID SYNDROME,1
MALABSORPTION,1
STEATORRHOEA,1
PALATAL OEDEMA,1
SUBCUTANEOUS ABSCESS,1
TUMOUR FISTULISATION,1
CELLULITIS STREPTOCOCCAL,1
BEHCET'S SYNDROME,1
HEPATOCELLULAR CARCINOMA,1
CORONARY ARTERY BYPASS,1
STENT PLACEMENT,1
VASCULAR STENT STENOSIS,1
LYMPHATIC OBSTRUCTION,1
FACIAL PARESIS,1
PNEUMOTHORAX SPONTANEOUS,1
VAGUS NERVE DISORDER,1
SUSPECTED COUNTERFEIT PRODUCT,1
ILEAL ULCER PERFORATION,1
RENAL MASS,1
PROSTATITIS,1
OESOPHAGEAL SPASM,1
HYPERPHAGIA,1
THROAT CANCER,1
CHRONIC MYOCARDITIS,1
METASTASES TO DIAPHRAGM,1
RETROPERITONEAL HAEMATOMA,1
FEELING DRUNK,1
CAPILLARY NAIL REFILL TEST ABNORMAL,1
RADIAL PULSE DECREASED,1
DRUG USE DISORDER,1
POISONING,1
GASTROINTESTINAL COMPLICATION ASSOCIATED WITH DEVICE,1
LYMPH NODE HAEMORRHAGE,1
PHARYNGEAL DISORDER,1
PROSTATIC SPECIFIC ANTIGEN INCREASED,1
ARTERY DISSECTION,1
MEDICAL DEVICE SITE DISCHARGE,1
SYSTEMIC LUPUS ERYTHEMATOSUS RASH,1
GASTRITIS HAEMORRHAGIC,1
OSTEOLYSIS,1
NONSPECIFIC REACTION,1
INJECTION SITE HAEMATOMA,1
MUSCLE STRAIN,1
HEREDITARY NON-POLYPOSIS COLORECTAL CANCER SYNDROME,1
ENDOMETRIOSIS,1
GALLBLADDER ENLARGEMENT,1
MUCOUS STOOLS,1
HAEMOBILIA,1
NYSTAGMUS,1
HAIR INJURY,1
STENOSIS,1
PURULENT PERICARDITIS,1
LUMBAR RADICULOPATHY,1
EXERCISE LACK OF,1
VESTIBULAR NEURONITIS,1
CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,1
HYPOSMIA,1
CONTRAST MEDIA REACTION,1
SKIN INDURATION,1
LARYNGEAL NECROSIS,1
CONTRAST MEDIA ALLERGY,1
MUSCULOSKELETAL DISORDER,1
EAR DISCOMFORT,1
NAIL GROWTH ABNORMAL,1
FAECAL VOMITING,1
OESOPHAGEAL IRRITATION,1
CHRONIC GASTRITIS,1
BLOOD TESTOSTERONE DECREASED,1
THYROID HORMONES DECREASED,1
CORNEAL PERFORATION,1
INTELLECTUAL DISABILITY,1
OTITIS MEDIA ACUTE,1
THINKING ABNORMAL,1
NEUROMUSCULAR TOXICITY,1
FEAR OF FALLING,1
ELDERLY,1
LOOSE TOOTH,1
PANCREAS INFECTION,1
OPHTHALMOPLEGIA,1
ONYCHALGIA,1
THALAMUS HAEMORRHAGE,1
INADEQUATE ANALGESIA,1
INTRACRANIAL ANEURYSM,1
LANGUAGE DISORDER,1
AUTOIMMUNE PANCREATITIS,1
HAEMOTHORAX,1
MUSCLE HAEMORRHAGE,1
ORGAN FAILURE,1
NEURITIS,1
PNEUMATOSIS,1
VASCULAR FRAGILITY,1
LYMPH NODE ABSCESS,1
FOETAL DISTRESS SYNDROME,1
MIXED CONNECTIVE TISSUE DISEASE,1
CARDIAC FUNCTION TEST ABNORMAL,1
CITROBACTER INFECTION,1
INTERNAL INJURY,1
GASTROINTESTINAL CANDIDIASIS,1
TONIC CLONIC MOVEMENTS,1
RADIUS FRACTURE,1
VERTEBRAL LESION,1
SOFT TISSUE NEOPLASM,1
CATARRH,1
INTESTINAL FISTULA REPAIR,1
TRACHEAL INJURY,1
HEPATITIS B REACTIVATION,1
BLEPHAROCHALASIS,1
EYE ULCER,1
NASAL ULCER,1
CARCINOEMBRYONIC ANTIGEN DECREASED,1
PARAINFLUENZAE VIRUS INFECTION,1
MENINGITIS TUBERCULOUS,1
CELLULITIS OF MALE EXTERNAL GENITAL ORGAN,1
BACILLUS BACTERAEMIA,1
SMALL INTESTINAL ULCER HAEMORRHAGE,1
DIABETIC HYPEROSMOLAR COMA,1
VARICOSE VEIN,1
PARACENTESIS,1
GASTROINTESTINAL HYPOMOTILITY,1
SARCOIDOSIS,1
BAND SENSATION,1
PALATAL SWELLING,1
HYPERSENSITIVITY VASCULITIS,1
TUMOUR CAVITATION,1
MUCOSAL TOXICITY,1
RECTAL CANCER,1
ORAL FUNGAL INFECTION,1
HYPERTROPHIC CARDIOMYOPATHY,1
SYNOVIAL RUPTURE,1
RENAL EMBOLISM,1
DISORGANISED SPEECH,1
MYELITIS,1
MENINGITIS STREPTOCOCCAL,1
PERINEAL ULCERATION,1
MADAROSIS,1
PITUITARY-DEPENDENT CUSHING'S SYNDROME,1
NON-SMALL CELL LUNG CANCER,1
ALANINE AMINOTRANSFERASE DECREASED,1
NAIL TOXICITY,1
BENIGN NEOPLASM,1
HUMERUS FRACTURE,1
CORTISOL ABNORMAL,1
COLONY STIMULATING FACTOR THERAPY,1
ORAL SURGERY,1
BONE ABSCESS,1
LIP PRURITUS,1
PHARYNX RADIATION INJURY,1
CALCULUS PROSTATIC,1
INFLUENZA B VIRUS TEST POSITIVE,1
SCEDOSPORIUM INFECTION,1
AUTOIMMUNE ENCEPHALOPATHY,1
ORAL PRURITUS,1
DIABETIC COMPLICATION,1
SEROSITIS,1
SUBSTANCE-INDUCED PSYCHOTIC DISORDER,1
OCCULT BLOOD,1
FINE MOTOR SKILL DYSFUNCTION,1
HEAD TITUBATION,1
LIVER OPERATION,1
PSYCHOMOTOR SKILLS IMPAIRED,1
RADIOEMBOLISATION,1
WEIGHT FLUCTUATION,1
ERYSIPELAS,1
GRAVITATIONAL OEDEMA,1
VENOUS RECANALISATION,1
DYSBIOSIS,1
THROMBOTIC CEREBRAL INFARCTION,1
STAPHYLOCOCCAL BACTERAEMIA,1
ACCESSORY SPLEEN,1
PELVIC INFLAMMATORY DISEASE,1
AORTIC PERFORATION,1
RENAL CYST INFECTION,1
EPIDIDYMITIS,1
EYE EXCISION,1
VITAL FUNCTIONS ABNORMAL,1
DEMYELINATING POLYNEUROPATHY,1
ANXIETY DISORDER,1
PARANASAL SINUS HYPOSECRETION,1
LYMPHOCYTE MORPHOLOGY ABNORMAL,1
NEUTROPHIL TOXIC GRANULATION PRESENT,1
INFECTED SKIN ULCER,1
DRUG DEPENDENCE,1
MONONEUROPATHY MULTIPLEX,1
ABSCESS RUPTURE,1
INTRACRANIAL TUMOUR HAEMORRHAGE,1
CRANIOCEREBRAL INJURY,1
RECTAL POLYP,1
SUBCUTANEOUS EMPHYSEMA,1
DYSPNOEA AT REST,1
TENSION,1
BONE MARROW HAEMORRHAGE,1
SODIUM RETENTION,1
ABULIA,1
PRODUCT USE COMPLAINT,1
OESOPHAGEAL STENT STENOSIS,1
PLEURAL DISORDER,1
THERAPEUTIC PRODUCT EFFECT DECREASED,1
QUADRIPARESIS,1
ELECTROCARDIOGRAM ST-T SEGMENT ABNORMAL,1
SINUS ARRHYTHMIA,1
HERPES SIMPLEX PNEUMONIA,1
CATHETER SITE INDURATION,1
PANCREATIC ATROPHY,1
GASTROINTESTINAL ULCER HAEMORRHAGE,1
GASTROINTESTINAL ULCER PERFORATION,1
LYMPHATIC FISTULA,1
POST INFECTION GLOMERULONEPHRITIS,1
CELL-MEDIATED IMMUNE DEFICIENCY,1
LARYNGEAL CANCER,1
BILIARY-BRONCHIAL FISTULA,1
BILOMA,1
DIAPHRAGMATIC RUPTURE,1
CHEMICAL CYSTITIS,1
GINGIVAL ABSCESS,1
DEFAECATION DISORDER,1
TONGUE MOVEMENT DISTURBANCE,1
BRONCHIAL FISTULA,1
CAROTID ARTERY OCCLUSION,1
APPENDIX CANCER,1
EYE INFLAMMATION,1
MENINGITIS VIRAL,1
AREFLEXIA,1
ATROPHY,1
PERINEPHRIC ABSCESS,1
SENSE OF OPPRESSION,1
STARVATION,1
SITTING DISABILITY,1
UNMASKING OF PREVIOUSLY UNIDENTIFIED DISEASE,1
CROHN'S DISEASE,1
AORTIC VALVE DISEASE,1
VASOCONSTRICTION,1
URETEROLITHIASIS,1
BLADDER SPASM,1
NEONATAL PNEUMONIA,1
TOOTH LOSS,1
RADIATION SICKNESS SYNDROME,1
NONINFECTIVE GINGIVITIS,1
ADDISON'S DISEASE,1
FOETAL HEART RATE DECREASED,1
